match_id,team1_score,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,winner_slot,toss_winner_slot
392217,140,3,1,2,1,4,4,146.6,137.2,171.0,142.8,0.8,0.667,0.5,0.714,168.5,1.0,0.0,0.0,0,1
392218,157,1,2,1,2,1,3,131.0,134.2,138.4,136.4,0.571,0.4,0.0,0.5,143.7,0.0,1.0,0.0,1,1
392219,123,1,1,1,1,0,3,136.0,157.8,142.6,145.6,0.5,0.3,0.571,0.25,151.75,0.0,0.0,0.0,0,0
392220,166,0,3,0,3,1,3,140.4,153.0,145.2,136.8,0.5,0.375,0.8,0.5,154.5,1.0,0.0,0.0,1,1
392221,173,2,1,2,1,0,3,141.6,145.4,136.8,137.8,0.5,0.3,0.0,0.5,143.33,0.667,0.0,0.0,0,0
392222,119,3,0,3,0,2,2,153.4,172.4,139.2,138.6,0.667,0.5,0.571,0.5,147.79,0.75,0.0,0.0,0,1
392223,173,3,0,3,0,4,2,139.0,140.8,144.0,145.6,0.625,0.25,0.5,0.444,152.95,0.667,1.0,1.0,1,0
392224,129,2,1,2,1,5,3,166.2,137.0,143.4,144.6,0.5,0.714,0.25,0.5,154.23,0.5,0.0,0.667,0,1
392225,145,1,1,1,1,3,2,142.6,137.2,134.0,134.6,0.8,0.5,0.571,0.5,152.25,0.5,1.0,0.0,1,1
392226,120,1,2,1,2,4,2,143.6,143.4,149.8,167.8,0.625,0.25,0.667,0.429,0.0,0.0,0.0,0.0,0,0
392227,147,2,1,2,1,2,4,132.8,133.6,159.2,138.2,0.571,0.5,0.5,0.625,144.58,0.0,1.0,1.0,0,1
392228,160,2,1,2,1,0,2,148.4,152.0,148.0,151.8,0.5,0.3,0.429,0.444,142.5,0.5,0.0,0.0,0,0
392229,134,3,0,3,0,2,3,143.6,161.2,161.2,148.2,0.714,0.429,0.5,0.444,147.62,0.667,0.0,1.0,1,0
392230,150,1,3,0,3,4,3,138.6,135.4,143.2,137.6,0.625,0.25,0.8,0.6,121.5,1.0,0.0,0.0,1,1
392231,188,2,0,2,0,4,0,156.8,138.6,152.6,155.6,0.5,0.625,0.5,0.3,144.38,0.75,1.0,0.0,0,1
392232,134,3,0,3,0,4,3,137.2,131.8,140.8,143.0,0.625,0.4,0.25,0.5,144.8,0.5,0.5,1.0,0,1
392233,101,2,0,2,0,2,1,128.2,141.0,159.8,162.4,0.8,0.6,0.5,0.3,151.62,0.5,1.0,0.333,0,0
392234,116,4,0,3,0,3,3,158.8,156.4,143.8,145.6,0.5,0.556,0.714,0.429,148.04,0.6,0.0,0.4,1,1
392236,170,2,1,2,1,3,2,137.8,140.0,158.8,149.8,0.25,0.5,0.444,0.444,149.28,0.75,0.5,0.5,1,1
392235,165,1,2,1,2,2,3,137.0,134.8,140.4,135.6,0.571,0.429,0.625,0.333,150.75,0.75,0.5,0.5,0,0
392237,153,4,0,3,0,3,2,148.6,144.0,156.8,150.0,0.667,0.333,0.444,0.444,152.09,0.8,0.667,0.333,0,0
392238,146,2,2,1,2,3,4,145.0,140.0,150.8,150.2,0.5,0.6,0.25,0.571,143.08,0.5,1.0,1.0,0,0
392239,143,1,3,1,2,2,5,154.4,158.0,152.4,148.0,0.5,0.444,0.4,0.571,143.71,0.6,0.5,1.0,1,0
419106,161,2,2,1,2,2,3,149.4,151.2,150.8,150.8,0.667,0.3,0.5,0.444,142.25,0.75,0.0,1.0,1,0
419107,212,1,2,1,2,2,1,146.8,144.4,127.0,140.4,0.571,0.429,0.8,0.6,0.0,0.0,0.0,0.0,1,1
419108,142,3,1,2,1,3,2,127.4,131.8,144.6,142.6,0.714,0.429,0.667,0.333,175.21,0.333,0.857,0.0,0,0
419109,135,2,2,2,1,4,3,144.6,142.0,157.0,156.2,0.333,0.571,0.667,0.3,131.64,1.0,0.0,0.571,0,0
419110,190,2,2,1,2,2,2,147.6,151.0,146.0,141.8,0.455,0.444,0.5,0.6,166.86,0.333,1.0,0.429,1,1
419111,141,3,2,2,1,1,3,140.6,154.6,149.8,146.4,0.8,0.6,0.7,0.333,0.0,0.0,0.0,0.0,0,0
419112,203,3,1,2,1,2,3,122.0,127.4,145.2,143.4,0.714,0.429,0.333,0.571,145.86,0.667,1.0,0.143,0,1
419113,164,2,1,2,1,2,4,152.0,153.4,149.6,148.0,0.5,0.6,0.75,0.3,132.12,1.0,1.0,0.625,1,1
419114,218,1,3,0,3,2,3,157.8,157.8,148.2,147.4,0.571,0.5,0.727,0.333,162.58,0.5,0.0,0.667,1,0
419115,92,3,1,2,1,1,3,146.2,149.8,159.0,157.2,0.8,0.6,0.333,0.571,153.06,0.667,1.0,0.25,0,0
419116,185,2,2,1,2,3,2,145.4,164.0,154.6,145.8,0.667,0.333,0.5,0.636,163.5,0.4,0.571,1.0,0,1
419117,170,0,4,0,3,3,2,159.0,156.0,138.8,143.8,0.455,0.5,0.714,0.375,0.0,0.0,0.0,0.0,1,0
419118,168,2,1,1,1,0,4,135.6,139.8,139.4,147.6,0.8,0.6,0.75,0.3,141.5,1.0,0.0,0.0,1,1
419119,151,2,2,2,1,2,3,177.0,158.0,143.6,144.0,0.571,0.5,0.429,0.571,210.0,0.0,1.0,0.0,0,1
419120,171,1,4,1,2,4,2,161.4,154.8,149.2,169.0,0.455,0.5,0.667,0.286,167.0,0.0,1.0,0.0,1,1
419122,155,0,4,0,3,3,2,128.4,143.6,178.6,160.0,0.75,0.3,0.571,0.444,181.5,0.0,0.0,0.5,0,1
419123,171,3,2,2,1,3,2,144.8,145.0,159.0,153.8,0.429,0.571,0.333,0.636,146.33,0.714,0.333,1.0,1,0
419124,183,2,2,1,2,1,0,142.0,136.6,147.4,154.4,0.8,0.667,0.625,0.375,171.31,0.5,0.0,0.75,1,0
419125,180,2,2,1,2,2,3,156.8,158.2,180.4,160.8,0.25,0.636,0.571,0.444,172.83,0.0,0.0,0.667,0,0
419128,183,3,1,2,1,2,4,150.8,172.4,151.6,143.4,0.667,0.286,0.429,0.571,147.0,0.625,1.0,0.4,1,0
419126,148,1,3,1,2,4,2,164.8,156.4,158.4,146.6,0.455,0.545,0.8,0.667,146.25,1.0,0.0,0.5,0,1
419127,183,2,2,2,1,2,0,139.0,154.6,159.4,167.8,0.75,0.273,0.556,0.375,170.89,0.4,0.0,0.667,1,1
419129,177,3,2,1,2,3,2,147.0,133.8,161.0,156.4,0.8,0.667,0.25,0.636,147.33,1.0,0.667,0.0,1,1
419130,172,1,3,1,2,4,3,183.6,163.6,165.8,159.2,0.625,0.444,0.455,0.5,144.9,0.6,0.667,0.5,1,0
419131,177,2,1,2,1,2,2,158.2,177.2,143.4,153.4,0.667,0.286,0.75,0.333,166.5,0.4,0.5,0.0,1,1
419132,163,3,1,2,1,0,4,159.8,175.2,175.6,148.2,0.556,0.375,0.625,0.444,174.75,1.0,0.0,0.75,0,0
419133,161,4,2,3,0,4,1,157.8,152.8,160.2,170.0,0.375,0.571,0.25,0.636,164.28,0.25,1.0,0.333,0,1
419134,188,3,3,2,1,2,4,165.2,176.4,154.2,137.4,0.667,0.375,0.8,0.714,165.44,0.4,0.556,0.0,1,1
419135,181,3,2,1,2,1,3,143.6,161.8,162.0,161.4,0.75,0.333,0.417,0.5,132.61,1.0,0.556,0.0,1,1
419136,181,3,2,1,2,0,3,151.8,167.2,149.2,144.6,0.556,0.375,0.375,0.5,170.15,0.4,0.6,0.0,0,1
419138,178,2,3,1,2,4,2,164.8,156.8,155.4,165.8,0.667,0.444,0.417,0.5,172.5,1.0,0.8,0.0,1,1
419137,246,2,4,2,1,1,4,154.6,165.2,160.0,156.4,0.25,0.636,0.8,0.714,164.0,0.25,0.4,1.0,1,1
419139,200,3,2,2,1,2,0,158.0,160.4,155.2,170.0,0.75,0.385,0.556,0.333,136.25,1.0,0.6,0.0,0,1
419140,184,4,1,2,1,3,3,178.8,157.0,167.4,162.4,0.667,0.444,0.375,0.5,164.35,0.4,0.6,0.0,1,1
419141,159,4,1,2,1,3,1,171.0,178.8,144.4,168.6,0.8,0.714,0.417,0.5,0.0,0.0,0.0,0.0,1,1
419142,165,2,3,1,2,2,5,176.6,182.6,170.2,148.8,0.25,0.667,0.667,0.5,170.41,0.25,0.455,0.0,1,1
419144,181,1,3,0,3,2,4,171.2,167.6,178.6,148.4,0.75,0.357,0.667,0.5,142.23,1.0,0.545,0.0,1,1
419143,153,2,3,1,2,1,3,168.8,182.8,166.2,179.8,0.556,0.333,0.8,0.75,151.14,0.75,0.0,1.0,0,1
419145,184,3,2,1,2,2,0,165.8,169.0,141.6,168.2,0.375,0.5,0.417,0.5,149.5,0.556,0.364,0.0,0,0
419146,154,2,3,2,1,4,1,167.2,150.8,169.0,177.6,0.667,0.5,0.556,0.3,171.27,0.4,0.0,0.545,0,1
419147,138,2,3,1,2,3,1,182.6,176.6,149.2,174.8,0.25,0.692,0.462,0.5,158.0,0.0,0.0,0.0,0,1
419148,160,3,2,1,2,3,1,176.4,169.8,168.4,179.2,0.75,0.4,0.375,0.5,152.46,0.6,1.0,0.333,0,0
419149,111,2,3,2,1,4,2,179.8,150.4,171.8,171.8,0.667,0.5,0.556,0.3,164.45,0.4,0.636,1.0,0,1
419150,174,2,2,1,2,3,3,161.8,146.4,167.4,180.8,0.667,0.455,0.8,0.75,151.62,0.75,0.0,1.0,1,0
