match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1216498,1,159.36,0.25,0.4285714285714285,0.625,4.0,11.0,1.0,2.0,2,2,162.8,175.2,165.0,155.8,0.4912280701754385,0.2222222222222222,0.5517241379310345,0.4166666666666667,0
1216497,1,146.95238095238096,0.375,0.4,0.0,0.0,2.0,0.0,2.0,1,3,134.2,150.6,171.2,159.6,0.59375,0.5,0.5555555555555556,0.4,0
1216544,0,157.84615384615384,0.2307692307692307,0.5,0.5714285714285714,9.0,15.0,2.0,1.0,4,1,159.6,136.4,143.4,148.6,0.492063492063492,0.4782608695652174,0.6363636363636364,0.6078431372549019,1
1216541,0,147.75,0.3333333333333333,0.7142857142857143,0.5,11.0,10.0,1.0,2.0,4,2,160.0,147.2,153.6,155.8,0.5714285714285714,0.5531914893617021,0.56,0.4117647058823529,1
1216520,0,169.46666666666667,0.4444444444444444,0.3333333333333333,0.75,18.0,8.0,3.0,0.0,1,3,140.2,145.2,161.6,157.8,0.59375,0.5,0.4912280701754385,0.2222222222222222,0
1216524,1,157.46296296296296,0.2307692307692307,0.5555555555555556,0.6,2.0,2.0,1.0,2.0,1,2,147.6,154.6,161.4,170.8,0.5333333333333333,0.4166666666666667,0.5,0.4,0
1216499,0,149.82608695652175,0.3333333333333333,0.6666666666666666,0.625,9.0,16.0,0.0,2.0,3,3,154.8,140.0,160.4,159.2,0.492063492063492,0.4583333333333333,0.5714285714285714,0.5416666666666666,0
1216536,0,158.08928571428572,0.2142857142857142,0.5,0.625,8.0,13.0,1.0,2.0,1,2,147.6,136.4,147.0,143.8,0.59375,0.5,0.6363636363636364,0.6078431372549019,0
1216537,0,150.45833333333334,0.4,0.5,0.5714285714285714,8.0,11.0,2.0,1.0,4,2,159.2,154.8,160.2,163.2,0.5,0.2222222222222222,0.56,0.4117647058823529,0
1216535,0,158.67241379310346,0.2666666666666666,0.5,0.0,1.0,2.0,1.0,2.0,2,3,155.2,181.4,160.4,159.6,0.4545454545454545,0.4,0.5789473684210527,0.5416666666666666,0
1216502,0,168.21875,0.5,0.5,0.0,7.0,7.0,2.0,1.0,2,2,148.8,150.8,159.8,148.2,0.492063492063492,0.4583333333333333,0.5333333333333333,0.4166666666666667,0
1216506,0,151.86,0.4545454545454545,0.4,0.4,8.0,13.0,1.0,2.0,3,2,160.8,157.8,149.2,148.8,0.5,0.2222222222222222,0.6444444444444445,0.6078431372549019,0
1216530,1,157.06666666666666,0.3125,0.3333333333333333,0.1666666666666666,11.0,8.0,2.0,1.0,1,3,152.4,142.2,167.8,168.0,0.59375,0.5,0.5686274509803921,0.4117647058823529,0
1216505,0,151.92307692307693,0.5,0.5,0.0,0.0,3.0,0.0,3.0,2,1,138.6,139.6,145.0,174.0,0.492063492063492,0.4583333333333333,0.4545454545454545,0.4,0
1216495,0,165.41176470588235,0.5454545454545454,0.6666666666666666,0.25,7.0,7.0,2.0,0.0,3,3,152.8,152.0,154.6,138.8,0.5862068965517241,0.5416666666666666,0.5483870967741935,0.4166666666666667,0
1237177,1,157.19354838709677,0.2941176470588235,0.1666666666666666,0.4285714285714285,3.0,1.0,3.0,0.0,3,1,147.4,147.0,138.8,168.6,0.5862068965517241,0.5416666666666666,0.5,0.4,0
1237178,0,151.96296296296296,0.5384615384615384,0.4,0.25,7.0,8.0,2.0,1.0,1,4,133.2,135.0,152.2,136.0,0.492063492063492,0.4583333333333333,0.5625,0.4166666666666667,0
1237180,1,151.23214285714286,0.5714285714285714,0.25,0.4,2.0,3.0,1.0,2.0,1,4,134.6,175.2,147.4,131.4,0.4615384615384615,0.4,0.5757575757575758,0.4166666666666667,1
1237181,0,157.640625,0.2777777777777778,0.375,0.2857142857142857,1.0,4.0,0.0,3.0,2,3,145.4,170.8,164.2,152.8,0.4615384615384615,0.5,0.5862068965517241,0.5416666666666666,1
1254058,0,0.0,0.0,0.0,0.0,17.0,9.0,2.0,0.0,4,0,156.6,144.8,142.4,144.6,0.5862068965517241,0.5416666666666666,0.492063492063492,0.4583333333333333,0
1254059,0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3,2,144.2,142.4,150.4,158.4,0.6521739130434783,0.6078431372549019,0.4615384615384615,0.4285714285714285,0
1254060,1,159.5,1.0,0.0,0.0,11.0,7.0,1.0,1.0,2,4,158.0,135.8,159.0,144.0,0.59375,0.5,0.5757575757575758,0.4166666666666667,0
1254061,1,189.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,158.6,170.4,0.0,0.0,0.5576923076923077,0.4117647058823529,0
1254062,1,170.75,0.5,0.0,1.0,21.0,6.0,3.0,0.0,3,3,155.2,144.0,178.6,154.2,0.5862068965517241,0.5416666666666666,0.59375,0.5,0
1254063,1,162.83333333333334,0.3333333333333333,1.0,0.0,7.0,9.0,1.0,2.0,1,3,145.4,146.4,150.6,155.2,0.5,0.4583333333333333,0.5588235294117647,0.4166666666666667,0
1254064,0,204.0,0.5,1.0,0.0,4.0,0.0,3.0,0.0,3,2,166.4,173.8,176.8,189.6,0.5,0.4285714285714285,0.5471698113207547,0.4117647058823529,0
1254065,0,185.5,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1,3,221.0,217.0,156.8,155.2,0.0,0.0,0.6521739130434783,0.6078431372549019,0
1254066,1,158.625,0.25,0.5,0.0,7.0,8.0,1.0,1.0,3,2,163.4,150.4,155.0,161.0,0.5862068965517241,0.5416666666666666,0.5428571428571428,0.4166666666666667,1
1254067,1,155.6,0.25,1.0,0.5,12.0,14.0,3.0,0.0,2,2,142.4,141.8,168.2,157.6,0.5,0.4583333333333333,0.5846153846153846,0.5,1
1254068,0,165.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1,2,163.5,162.0,165.0,173.4,0.0,0.0,0.5,0.4285714285714285,0
1254069,1,171.9,0.8,0.5,0.5,14.0,9.0,1.0,2.0,4,3,155.4,153.2,176.0,187.8,0.6595744680851063,0.6078431372549019,0.5555555555555556,0.4117647058823529,0
